LocationID,Zone,Borough,service_zone,pickup_count,dropoff_count
105,Governor's Island/Ellis Island/Liberty Island,Manhattan,Yellow Zone,4,7.0
245,West Brighton,Staten Island,Boro Zone,46,431.0
13,Battery Park City,Manhattan,Yellow Zone,255125,308709.0
10,Baisley Park,Queens,Boro Zone,15770,39669.0
117,Hammels/Arverne,Queens,Boro Zone,3892,5859.0
114,Greenwich Village South,Manhattan,Yellow Zone,596322,421067.0
233,UN/Turtle Bay South,Manhattan,Yellow Zone,477427,614894.0
4,Alphabet City,Manhattan,Yellow Zone,71461,164552.0
147,Longwood,Bronx,Boro Zone,2132,3773.0
251,Westerleigh,Staten Island,Boro Zone,78,540.0
99,Freshkills Park,Staten Island,Boro Zone,4,11.0
230,Times Sq/Theatre District,Manhattan,Yellow Zone,1391159,1310990.0
248,West Farms/Bronx River,Bronx,Boro Zone,2697,3932.0
16,Bayside,Queens,Boro Zone,1214,7598.0
123,Homecrest,Brooklyn,Boro Zone,3152,8088.0
102,Glendale,Queens,Boro Zone,2089,8094.0
242,Van Nest/Morris Park,Bronx,Boro Zone,2906,6875.0
263,Yorkville West,Manhattan,Yellow Zone,766745,833698.0
138,LaGuardia Airport,Queens,Airports,1295508,488553.0
132,JFK Airport,Queens,Airports,1989994,476800.0
260,Woodside,Queens,Boro Zone,13158,29470.0
254,Williamsbridge/Olinville,Bronx,Boro Zone,4129,6938.0
239,Upper West Side South,Manhattan,Yellow Zone,1142282,1131544.0
141,Lenox Hill West,Manhattan,Yellow Zone,929064,1061309.0
120,Highbridge Park,Manhattan,Boro Zone,282,2441.0
129,Jackson Heights,Queens,Boro Zone,17519,52843.0
7,Astoria,Queens,Boro Zone,29158,96989.0
126,Hunts Point,Bronx,Boro Zone,2573,4710.0
108,Gravesend,Brooklyn,Boro Zone,2301,4156.0
174,Norwood,Bronx,Boro Zone,2297,5661.0
46,City Island,Bronx,Boro Zone,332,1156.0
61,Crown Heights North,Brooklyn,Boro Zone,26726,65523.0
168,Mott Haven/Port Morris,Bronx,Boro Zone,12912,23536.0
19,Bellerose,Queens,Boro Zone,1847,6036.0
183,Pelham Bay,Bronx,Boro Zone,951,2090.0
64,Douglaston,Queens,Boro Zone,804,5163.0
22,Bensonhurst West,Brooklyn,Boro Zone,3225,7762.0
162,Midtown East,Manhattan,Yellow Zone,1418847,1183375.0
165,Midwood,Brooklyn,Boro Zone,4857,12036.0
58,Country Club,Bronx,Boro Zone,160,1087.0
49,Clinton Hill,Brooklyn,Boro Zone,13595,55888.0
156,Mariners Harbor,Staten Island,Boro Zone,62,477.0
